qid,questions,intention,answer
149,商米T1系统安全模式是什么,question,安全模式是安卓系统的一个特殊模式，它的原理与Windows 的安全模式相似。如果安卓系统出现类似软件，例如应用程序引发的死机、重启或电池很快耗尽，此时可进入安全模式来检查问题是否为应用程序所造成。在安全模式中，系统不会加载非预装应用程序，仅会就自身的系统来进行正常启动。这样用户便能进行系统检测、修复错误，或卸载有问题的应用程序。
150,商米T1如何进入安全模式？,question,"在开机显示开机动画时，按住""音量减""键直到进入系统桌面，此时桌面左下方显示「安全模式」即表示成功。"
151,商米T1如何退出安全模式？,question,重新启动即可退出。
152,商米T1产品的存储空间为什么跟规格标示的不一样,question,"安卓设备通常标称的存储容量指的是整个闪存芯片的空间大小（包括所有分区），而在安卓设备上，不但有看得见的分区，还有一些看不到的隐藏系统分区。例如，为了便于用户拿到设备可以直接使用，安卓设备会预装安卓操作系统和部分APP，这些隐藏的系统分区在设备中是不可见的，且通过第三方工具检测也是无法检测到的。而在在系统设置中可以感知的存储容量，仅仅指的是用户能够使用的部分（用户Data分区）。
商米T1内置16GB的闪存芯片，在系统设置中可以感知的存储容量，用户可以使用的总容量约为9.72GB。"
153,商米T1如何扩展收银机的存储空间,question,如果收银机有存放大量的图片文件、音乐文件和文档的需求，您可以通过加装microSD卡来扩展存储空间，收银机支持扩展最大64GB的microSD卡，请用前请通过电脑将microSD卡格式化为FAT32的文件系统。
154,商米T1如何删除不需要的文件,question,"收银机使用一段时间后，随着不断安装新应用、下载文件以及产生的缓存文件累积，导致可用的存储空间不断减少。在可用存储低于100MB时，可能会出现“储存空间不足”的弹窗提示，甚至应用程序无法正常启动，系统运行卡顿等状况。这时候可参考以下方式来清理：
1.在桌面点击【设置】->【存储设备和USB】查看哪些项目占用了较多的存储空间，可直接点击进行清理。例如，缓存数据较多可点击“缓存数据”清除。
2.如果是“其他”项目占用较多存储空间（一般是应用下载的文件、联网下载的文件），点击该项目后只能浏览不能直观查看哪些文件占用较多空间需要删除，您可以通过下载一些第三方APP，例如“ES文件管理器”来清理。（ES文件管理器选择“清理”，根据搜索分析结果选择清理。）
3.如果未能确认是哪些文件可以被清理，可以备份重要数据，将收银机恢复出厂设置可以将设备恢复初始状态。"
155,商米T1如何清理缓存,question,"收银机使用一段时间后，随着不断安装新应用、下载文件以及产生的缓存文件累积，导致可用的存储空间不断减少。在可用存储低于100MB时，可能会出现“储存空间不足”的弹窗提示，甚至应用程序无法正常启动，系统运行卡顿等状况。这时候可参考以下方式来清理：
1.在桌面点击【设置】->【存储设备和USB】查看哪些项目占用了较多的存储空间，可直接点击进行清理。例如，缓存数据较多可点击“缓存数据”清除。
2.如果是“其他”项目占用较多存储空间（一般是应用下载的文件、联网下载的文件），点击该项目后只能浏览不能直观查看哪些文件占用较多空间需要删除，您可以通过下载一些第三方APP，例如“ES文件管理器”来清理。（ES文件管理器选择“清理”，根据搜索分析结果选择清理。）
3.如果未能确认是哪些文件可以被清理，可以备份重要数据，将收银机恢复出厂设置可以将设备恢复初始状态。"
156,商米T1如何调整显示字体的大小,question,在桌面点击【设置】->【无障碍】切换字体，仅支持系统界面的字体显示。
157,商米T1为什么文字变成加粗黑体显示,question,请检查是否开启了“高对比度文字”显示，在桌面点击【设置】>【无障碍】中可以选择启用或关闭。
158,商米T1如何使用副屏播放视频,question,请与搭配机器使用的收银软件商确认是否已适配客显屏播放视频或图片显示，副屏显示设置都需要在收银软件中进行设置。
159,商米T1如何使用副屏播放演示图片广告,question,请与搭配机器使用的收银软件商确认是否已适配客显屏播放视频或图片显示，副屏显示设置都需要在收银软件中进行设置。
160,商米T1调节音量,question,"方法一：在收银机桌面点击“设置”->“声音”，此处可调整音量大小；媒体音量影响软件的语音播报，通知音量将影响新消息推送提醒。
方法二：将主屏幕背面下方的塑料盖掀开，找到三颗圆形按键，上方两个按键是音量调节键。"
161,商米T1调节音量大小,question,"方法一：在收银机桌面点击“设置”->“声音”，此处可调整音量大小；媒体音量影响软件的语音播报，通知音量将影响新消息推送提醒。
方法二：将主屏幕背面下方的塑料盖掀开，找到三颗圆形按键，上方两个按键是音量调节键。"
162,商米T1如何安装第三方APP,question,"首先，查看是哪个渠道商出货的收银机，步骤：点击 应用市场，选择“我的”，在页面下方的“服务商”所属名称。
如果标记名称是“SUNMI”代表是属于商米直接销售或代理商出货的机具，使用者可以从商米应用市场下载商米应用池内所有可见的应用。至于应用市场没有的应用，也支持通过浏览器在网页搜索下载安装APK；
如果“服务商”显示渠道商名称，则代表您的机具属于渠道定制机；渠道商为了保证其生态权利（提供独有的解决方案、专利或福利），我们将应用市场的控制权交给他们，他们可以调整该渠道出货机具的应用市场有哪些应用程序。销售人员一般都会讲清其销售设备的业务能力范围，而使用者购买前也建议向销售防确认是否能够满足自己的业务管理需求哦。
如果渠道应用市场缺少您需要使用的应用，您可以向设备购买的渠道商反馈，争取应用程序的上架。"
163,"商米T1安装从网页下载或者蓝牙接收到本地的应用APK，显示""应用未安装"" 或“禁止未经授权的APP安装”，如何处理",question,"如果您使用的是渠道机，而渠道商通过商米合作伙伴平台设置不允许安装第三方应用，则用户只能从应用市场下载安装应用，无法通过其他方式安装渠道应用市场未收录的应用。
如何查看机具是哪个渠道商出货的机具？步骤：点击 应用市场，选择“我的”，在页面下方的“服务商”所属名称。"
164,商米T1如何停用不必要的应用,question,"支持停用部分应用，设置->应用->选择应用->停用；
对于自行安装的APP，您可以尝试使用以下步骤卸载：在设备桌面长按APP图标拖拽到屏幕上方，出现删除图标放开卸载APP。"
165,商米T1为什么有部分应用无法卸载,question,如果您使用的是渠道定制机，而渠道合作伙伴在其专属应用市场将某些App设置为“默认启动”或“自动安装”，则用户无法在旗下机具上删除这部分应用。
166,商米T1支持哪些外接哪些硬件,question,"T1扩展接口位于机身背面藏线盖内，从底下凹槽轻轻打开。接口分别有： 1x电源口,1xRJ12钱箱口,1xRJ45 LAN口,4xUSB TypeA口, 1xRJ11串口,1x耳机口。
钱箱口(RJ12)只支持外接24V/1A钱箱，如果使用12V钱箱可能存在烧毁钱箱电路隐患；
LAN口(RJ45)是网线接口支持100M网络；
USB 2.0接口支持 HID 协议设备,例如扫码枪、读卡器、U盘、鼠标、键盘、USB摄像头 (符合UVC规格）等可即插即用，免驱动的USB设备。
串口（RJ11）RJ11串口可连接电子秤、串口打印机等设备；也支持标准RS232串口设备（需要购买转换线）；
音频孔是3.5mm 4段式CTIA标准接口，支持外接音箱、耳机。"
167,商米T1是否支持外接RS232接口的设备，如打印机、电子秤,question,支持标准RS232串口设备，可连接电子秤、串口打印机等设备; 可以直接购买商米RJ11转RS232数据线，或者自行购买转接线时提供RJ11接口的线序给厂家定制。
168,商米T1如何外接钱箱,question,"T1只支持外接24V/1A钱箱，如果使用12V钱箱可能存在烧毁钱箱电路隐患；可连接RJ12钱箱专用口外接钱箱使用。
物理通讯测试可用：爱宝钱箱 12/24V钱箱可用 ，其他24V/1A RJ11接口的钱箱也可。"
169,商米T1如何外接扫码枪,question,"可以使用USB接口外接有线或无线扫码枪。USB有线免驱动的扫码枪没有品牌及型号限制，即插即用；
物理通讯测试可用：新大陆 NLS-OY10(一维码）、NLS-HR22（二维码）、NLS-HR11(一维码）、NLS-HR22（二维码）；民德 MD6100(激光二维码） MD2250(激光一维码）"
170,商米T1如何外接电子秤,question,"系统版本支持：在收银机桌面找到“系统更新”，联网将系统升级到最新版本； 
硬件连接要求：T1有专门的RJ11接口通讯口可连接电子秤；支持外接有线连接和蓝牙连接的电子秤。
部分有线连接的电子秤是国标的RS232串口，可购买商米RJ11转RS232数据线连接实现物理通讯接通。
电子秤购买：因为不同收银软件商可能会适配特定型号的电子秤，具体请咨询收银软件商应该购买哪个型号的电子秤。 (常见可用的有线电子秤：大华ACS-15AB)"
171,商米T1是否支持刷金融银行卡？,question,"安装操作：请先将主屏背面的卡槽盖打开，插上卡槽的连接线，注意红线朝下，上面有两个突出点，刚好对应机器接口上的两个空点，并锁紧配套的螺丝即可。
读卡器只支持普通的磁卡和RFID卡（IC卡），不支持金融银行卡。MSR读卡器支持1-2-3轨磁条卡，符合ISO7810/7811/7813规范。RFID读卡器支持ISO/ICE 14443 TypeA&B卡和M1卡。"
172,商米T1如何加装商米刷卡器（MSR/RFID读卡器）？,question,"安装操作：请先将主屏背面的卡槽盖打开，插上卡槽的连接线，注意红线朝下，上面有两个突出点，刚好对应机器接口上的两个空点，并锁紧配套的螺丝即可。
读卡器只支持普通的磁卡和RFID卡（IC卡），不支持金融银行卡。MSR读卡器支持1-2-3轨磁条卡，符合ISO7810/7811/7813规范。RFID读卡器支持ISO/ICE 14443 TypeA&B卡和M1卡。"
173,商米T1如何外接会员卡读写器,question,"商米目前已经支持四款第三方usb通用读写器，软件开发者可参考商米提供的demo做读卡写卡操作。购买读卡器务必说明需要适配商米的型号。点击查看开发文档
*上海亿矽智能科技有限公司UM002读卡器
*深圳市德卡科技有限公司T10读写器（需支持android版本，电源充电版）
*香港龙杰智能卡有限公司ACR1281U-C1读写器
*香港龙杰智能卡有限公司ACR1281U-K1读写器"
174,商米T1是否支持通过HDMI连接电视显示屏,question,T1不支持HDMI扩展接口。
175,商米T1是否支持外接摄像头使用,question,"T1的USB 2.0接口支持外接USB摄像头 (符合UVC规格），首先从网上下载安卓的摄像头软件，例如: webcame, Netcamera等，再外接USB摄像头。
注意：需要特定的商米系统版本才能支持！"
176,商米T1能否连接USB密码键盘,question,T1可以连接免驱的USB有线密码键盘。
177,商米T1能否连接U盘传输文件,question,T1支持连接U盘，支持的U盘格式: FAT32:可读可写，如果是其他格式会有限制：NTFS:可读不可写 ;exFAT:不支持；
178,商米T1是否支持外接USB接口的3G/4G无线上网卡,question,"可以选择购买免驱动只需USB供电的随身WiFi，例如华为随行WiFi2，这类有电就有4G WiFi热点的设备；
注意外接USB网卡需要安装驱动的型号就不能直接用，因为驱动一般只提供Windows和Mac系统，不支持安卓系统。"
179,商米T1是否支持4G全网通SIM卡模块,question,T1标配机型不支持，需要批量下单定制支持3G模块的机型。建议考虑外接4G无线网卡。
180,商米T1是否有内置MIC,question,T1没有内置MIC麦克风，需要连接蓝牙麦克风或外接麦克风插入音频口使用。
181,商米T1使用USB线连接电脑传输文件，如何操作,question,机器通过USB数据线与电脑连接后，在T1主屏幕顶部往下滑，在菜单中选择“USB选项”，点击“文件传输”即可。
182,商米T1收银机使用USB数据线连接电脑传输文件，无法选择USB连接类型，如何处理,question,"如果机器通过USB数据线与电脑连接后，通知栏没有出现“USB选项”，可点击“设置”->“开发者选项”，点击“选择USB配置”选择“MTP(媒体传输协议)”。
(找不到“开发者选项”？点击“设置”->“关于”，连续点击“版本号”7次即可显示)"
183,商米T1使用哪种规格的热敏纸,question,T1使用80mm*80mm的热敏纸，纸卷直径最大支持80mm。
184,商米T1可否使用58规格的热敏纸,question,"商米T1内置打印机仓可容纳80mm*80mm规格的打印纸，如果您需要使用58mm规格的打印纸，您可以购买专用58打印挡板，用以固定58mm打印纸卷；
在“挡板安装位置”示意图的右侧放入58规格打印纸；安装时注意先将挡板对准下边的卡扣，然后上边对齐卡扣，再往里推入卡紧。
然后在更改机器的打印设置，步骤：设置->打印->内置打印管理->打印纸规格，切换成 58mm模式，重新启动该设备后生效；以后就能使用58mm打印纸打印。"
185,商米T1如何拆下58规格打印挡板，切换使用80规格打印纸？,question,商米T1T1如何拆下58规格打印挡板，切换使用80规格打印纸？
186,其他设备是否可以把T1当蓝牙打印机来使用,question,不可以。T1内置打印机是通过商米的底层封装虚拟的连接完成的，只支持设备自己使用。
187,商米T1如何在APP中通过蓝牙连接自带的打印机？,question,"1.在桌面上找到""设置""->""蓝牙""->开启蓝牙开关。
2.回到桌面，打开需要打印票据的APP，找到打印设置，点击连接或添加打印机，选择“InnerPrinter” 连接成功后，再打印即可。"
188,商米T1内置打印机是否支持打印热敏标签,question,收银机内置的是热敏票据打印机，不支持打印不干胶标签，建议购买专用的标签打印机外接使用。
189,商米T1内置打印机是否支持打印不干胶标签,question,收银机内置的是热敏票据打印机，不支持打印不干胶标签，建议购买专用的标签打印机外接使用。
190,商米T1T1是否支持黑标打印,question,"商米 T1 可使用符合规范的黑标打印纸进行打印，要求黑标需要在纸张水平中间位置才能被检纸传感器器检测到。
用户可以在 设置->打印->内置打印管理中对黑标模式和切刀位置进行修改。（T1系统版本需要升级到1.12.6或以上版本。）"
191,商米T1硬件管家可以检查哪些硬件功能是否正常,question,"硬件管家支持检测以下项目：
1、硬件管家->本机信息：可查看设备的详细信息及参数；
2、硬件管家->网络状况：可查看/测试本机网络情况、测试信号强度和网络稳定性；
3、硬件管家->打印机：可测试设备的打印及打印头老化测试；
4、硬件管家->显示屏：可设置屏幕亮度并测试显示屏颜色是否正确；
5、硬件管家->触屏：可测试设备触屏灵敏度是否无误。
6、硬件管家->喇叭：可诊断设备的喇叭状态；
7、硬件管家->切刀：可测试打印切刀是否正常；
8、硬件管家->钱箱：可测试钱箱是否正常打开；"
192,商米T1开不了机,question,"1.检查收银机背面后盖的电源插口是否连接正常；检查电源适配器与电源线的连接处是否插紧；
2.拔出所有外接设备的数据连接线，重新插拔下收银机后盖电源插头。
3.有条件可以更换电源适配器交叉测试判断是适配器问题还是机器问题。"
193,商米T1死机怎么办,question,找到机器背面的电源适配器接口，拔下电源线后重新插上，等待5s后，再短按电源键2秒开启。
194,商米T1初次开机，无法激活,question,"1. 手机分享热点给T1连接，测试是否网络异常导致无法联网激活；
2. 重新启动，再试。
3. 使用其他商米设备测试打开应用市场是否可以下载应用，如果是伺服器异常，请稍后再试。（或者在设备的“您好”页面右上角空白处连续点击5下跳过激活步骤）"
195,商米T1系统更新下载升级包失败,question,点击 设置->应用->点击右上角显示系统进程->找到系统更新->储存空间->清除数据，重启机器，再次下载更新试试。
196,商米T1连接WiFi提示网络连接失败,question,"请尝试以下方法：
1. 检查网线连接后，网线状态灯是否正常闪烁；如果状态灯不亮，需要检查是否网络异常，有条件可以更换网线测试；确认网线连接其他设备可以正常使用。
2. 检查屏幕右上角是否显示有线网已成功连接的logo。如果网线状态灯亮，但是不显示网络已连接的Logo，可检查是否局域网内的DHCP服务是否启用；
如果使用固定IP联网方式，需要在设置->有线网->静态->设置静态IP的方式连接网络。注意：静态IP地址、网络前缀长度、DNS和网关的数据要咨询网络管理员获取。
3. 如果屏幕右上角显示有线网已成功连接的logo，但是某个APP不能联网，那么属于该APP的问题；如果网络检查无问题，所有应用均无法联网，尝试以下步骤：设置->备份和重置，选择“重置网络设置”，关机后重新开机，开机后不要打开任何APP，只是打开硬件管家，测试网络是否通畅。
4. 如果是连网不稳定，可以点击设置->硬件管家->测试网络的信号强度及网络稳定性、如果网络存在连接不稳定或信号弱，则需要检查路由器或者联系当地运营商核实网络状况。"
197,商米T1WiFi连接后不能上网,question,"请尝试以下方法：
1. 检查网线连接后，网线状态灯是否正常闪烁；如果状态灯不亮，需要检查是否网络异常，有条件可以更换网线测试；确认网线连接其他设备可以正常使用。
2. 检查屏幕右上角是否显示有线网已成功连接的logo。如果网线状态灯亮，但是不显示网络已连接的Logo，可检查是否局域网内的DHCP服务是否启用；
如果使用固定IP联网方式，需要在设置->有线网->静态->设置静态IP的方式连接网络。注意：静态IP地址、网络前缀长度、DNS和网关的数据要咨询网络管理员获取。
3. 如果屏幕右上角显示有线网已成功连接的logo，但是某个APP不能联网，那么属于该APP的问题；如果网络检查无问题，所有应用均无法联网，尝试以下步骤：设置->备份和重置，选择“重置网络设置”，关机后重新开机，开机后不要打开任何APP，只是打开硬件管家，测试网络是否通畅。
4. 如果是连网不稳定，可以点击设置->硬件管家->测试网络的信号强度及网络稳定性、如果网络存在连接不稳定或信号弱，则需要检查路由器或者联系当地运营商核实网络状况。"
